"ID","Category","Title","Severity","Evidence_class","Evidence","Impact","Recommended_next_action","Likely_files_affected"
"DEF-001","CRAN readiness","Placeholder maintainer identity remains in DESCRIPTION","high","verified fact","DESCRIPTION uses maintainers@example.com for Author/Maintainer metadata.","Release metadata is not publication-ready and weakens package ownership traceability.","Replace placeholder maintainer identity with a real maintainer record before stabilization.","DESCRIPTION"
"DEF-002","CRAN readiness","DESCRIPTION is missing URL","medium","verified fact","DESCRIPTION has no URL field.","Repository and project-home discovery are weaker than expected for release-grade metadata.","Add canonical repository or project URLs to DESCRIPTION.","DESCRIPTION"
"DEF-003","CRAN readiness","DESCRIPTION is missing BugReports","medium","verified fact","DESCRIPTION has no BugReports field.","Users and reviewers lack a declared issue-reporting endpoint.","Add a stable issue tracker URL to DESCRIPTION.","DESCRIPTION"
"DEF-004","documentation","Repository has no top-level README","medium","verified fact","No README* file was found at the package root.","New users and reviewers lack a primary package overview and install/use guidance.","Add a root README that describes purpose, installation, and core usage patterns.","README*"
"DEF-005","documentation","Repository has no top-level NEWS file","low","verified fact","No NEWS* file was found at the package root.","Change tracking is less auditable during stabilization and release preparation.","Add a NEWS or NEWS.md file for release-facing change history.","NEWS*"
"DEF-006","documentation","No vignettes are present","medium","verified fact","The vignettes/ directory is absent or contains no vignette sources.","Long-form usage guidance is missing for a metrics package with multiple wrappers and compatibility behaviors.","Add at least one vignette or explicitly document why vignette coverage is intentionally absent.","vignettes; DESCRIPTION"
"DEF-007","compatibility","Compatibility tracker overstates the current public export surface","high","verified fact","COMPATIBILITY_TRACKER.md marks hydroGOF-style items as implemented, but 33 tracked names are not exported via NAMESPACE: KGE, KGEkm, KGElf, KGEnp, NSE, R2, VE, br2","API compatibility claims are difficult to audit because documentation and namespace evidence disagree.","Reconcile compatibility docs with actual exports, or document which items are method names rather than exported functions.","COMPATIBILITY_TRACKER.md; NAMESPACE; tools/hydrogof_exports.txt"
"DEF-008","testing gap","No coverage automation or config was detected","medium","verified fact","No coverage workflow, codecov config, or covr-specific repository file was found.","Coverage blind spots are harder to locate before stabilization work begins.","Add a coverage command or workflow and record expected thresholds separately from this audit.",".github/workflows; DESCRIPTION"
"DEF-009","CI","No lint automation or config was detected","low","verified fact","No lint workflow and no .lintr config were found.","Style and static-analysis regressions may accumulate unnoticed.","Add lintr configuration and a CI entry point if linting is part of the stabilization bar.",".github/workflows; .lintr"
"DEF-010","documentation","Rd example sections are absent","low","verified fact","No \examples{} section was detected across man/*.Rd files.","Example execution cannot contribute runtime evidence during check-like validation.","Add minimal runnable examples for the core public API surface.","man"
"RSK-001","CI","CI matrix does not exercise macOS","medium","verified fact","The only detected CI OS targets are: {ubuntu-latest, windows-latest}.","Platform-specific issues may remain hidden until later release-stage validation.","Consider adding a macOS lane if cross-platform behavior is part of the stabilization target.",".github/workflows/R-CMD-check.yml"
"RSK-002","CRAN readiness","CI check configuration skips manual and vignette validation","medium","verified fact","R-CMD-check workflow passes --no-manual and ignores vignette building/checking.","Release-like validation is narrower than a full CRAN-style check surface.","Retain fast CI if needed, but add an explicit full-check path before release hardening.",".github/workflows/R-CMD-check.yml"
"RSK-003","documentation","Reference scaffold still contains TODO placeholders","low","verified fact","inst/REFERENCES.md contains unresolved DOI/URL TODO placeholders.","Citation completeness remains below a publication-ready documentation bar.","Replace placeholder reference fields with finalized citations during later documentation work.","inst/REFERENCES.md"
"RSK-004","testing gap","Many internal metric ids have no obvious dedicated test file","medium","likely inference","Direct filename-level evidence for dedicated tests is unclear for 26 metric ids, including: br2, dr, kge, kgekm, kgelf, kgenp, mape, md","Coverage may rely on broad batch tests, which makes gap analysis less precise during stabilization.","Map metric ids to explicit tests or document which batch files provide intended coverage.","tests/testthat; R/core_metrics.R"
"RSK-005","CI","CI does not upload diagnostic artifacts","low","verified fact","No upload-artifact step was detected in .github/workflows.","Troubleshooting failed checks may require rerunning jobs rather than inspecting retained artifacts.","Consider uploading check logs or coverage outputs when deeper CI forensics become necessary.",".github/workflows"
