"Area","Item","Evidence source","Status","Evidence class","Notes"
"public API","export presence","public_api_inventory.csv","compatible","verified fact","17 runtime exports matched 17 NAMESPACE exports."
"public API","wrapper presence","public_api_inventory.csv","compatible","verified fact","16 exported wrappers/core entry points were audited."
"signatures","wrapper signatures","wrapper_signature_matrix.csv","partially compatible","likely inference","0/16 wrappers expose formal na.rm; epsilon.type/value are absent from all audited wrappers."
"signatures","defaults","wrapper_signature_matrix.csv","partially compatible","verified fact","Current public defaults are deterministic but not uniformly hydroGOF-style in naming."
"returns","return structures","return_behavior_matrix.csv","partially compatible","likely inference","Representative return checks were deterministic; ggof returns a hydro_metrics_batch data.frame."
"missing values","na.rm handling","na_rm_behavior_results.txt","partially compatible","verified fact","na.rm runtime evidence exists across alpha, gof, preproc, and APFB."
"input handling","vector input handling","input_shape_behavior_matrix.csv","partially compatible","verified fact","14/16 audited vector-shape cases succeeded."
"input handling","matrix input handling","input_shape_behavior_matrix.csv","partially compatible","verified fact","28/32 audited matrix-shape cases succeeded."
"input handling","data.frame input handling","input_shape_behavior_matrix.csv","partially compatible","verified fact","28/32 audited data.frame-shape cases succeeded."
"input handling","zoo input handling","input_shape_behavior_matrix.csv","compatible","verified fact","16/16 audited zoo-shape cases succeeded."
"core entry points","gof behavior","gof_behavior_results.txt","compatible","verified fact","gof accepted representative vector, data.frame, zoo, and alias-driven inputs."
"core entry points","ggof behavior","ggof_behavior_results.txt","divergent","verified fact","ggof constructed deterministic data.frame output and left the graphics device list unchanged."
"behavior","warning/error behavior","warning_error_behavior_results.txt","compatible","likely inference","Representative errors were informative and deterministic."
"documentation","documentation alignment","public_api_inventory.csv + man aliases","compatible","verified fact","All runtime exports were matched to Rd aliases."
