Item,Command or evidence source,Result,Status,Notes
"R CMD build . result","R CMD build .","PASS","PASS","Built hydroMetrics_0.2.0.tar.gz and created vignettes successfully on 2026-03-09."
"R CMD check --no-manual result","R CMD check --no-manual hydroMetrics_0.2.0.tar.gz","PASS","PASS","Completed with Status: OK; offline repository-index warnings were environment-specific and did not affect package validation."
"devtools::check(cran = TRUE) result","Rscript -e ""devtools::check(cran = TRUE)""","processx_exec blocked before R CMD check startup","ENV-BLOCKED","Exact root cause: creating write pipe for Rcmd.exe failed with system error 5 (Access is denied) in processx/callr on Windows."
"error count","devtools::check(cran = TRUE) output","not produced","ENV-BLOCKED","The wrapper-level failure occurred before CRAN-style error/warning/note counts were emitted."
"warning count","devtools::check(cran = TRUE) output","not produced","ENV-BLOCKED","The wrapper-level failure occurred before CRAN-style error/warning/note counts were emitted."
"note count","devtools::check(cran = TRUE) output","not produced","ENV-BLOCKED","The wrapper-level failure occurred before CRAN-style error/warning/note counts were emitted."
"acknowledged or environment-specific notes","Combined check evidence","Windows processx/callr wrapper issue recorded; fallback package-level validation clean","RECORDED","Use the clean R CMD build/check results as the package-level fallback evidence for this machine."
"coverage percentage","Rscript -e ""cov <- covr::package_coverage(type = 'tests'); cat(sprintf('Coverage percent: %.2f%%\\n', covr::percent_coverage(cov)))""","95.17%","PASS","Measured on 2026-03-09 from the expanded full test suite; recorded in notes/phase2-closure/coverage_results.txt."
"coverage >= 95%","Coverage percentage row","TRUE","PASS","Phase 2 coverage target met."
"all six CI nodes green","GitHub Actions workflow_dispatch evidence on feature/phase2-final-closure","TRUE","PASS","Verified in notes/phase2-closure/ci_matrix_evidence.md for commit 2aa338caadd3306e48f76f1b2f81fe3b8b3615ac."
"vignettes knit cleanly","R CMD build .; R CMD check --no-manual","TRUE","PASS","The getting-started vignette built and re-built successfully."
"examples run cleanly","R CMD check --no-manual hydroMetrics_0.2.0.tar.gz","TRUE","PASS","Examples completed cleanly during installed-package check."
"NEWS updated","NEWS.md","TRUE","PASS","NEWS.md reflects the current 0.2.0 Phase 2 release-hardening state."
