Function,Input class,Supported,Result type,Warning/error behavior,Deterministic,Notes
gof,numeric,TRUE,hydro_metrics,ok: hydro_metrics length 1,TRUE,
gof,matrix,TRUE,hydro_metrics,ok: hydro_metrics matrix [1 x 2],TRUE,
gof,zoo,TRUE,hydro_metrics,ok: hydro_metrics length 1,TRUE,
gof,xts,TRUE,hydro_metrics,ok: hydro_metrics length 1,TRUE,
ggof,numeric,TRUE,hydro_metrics_batch,ok: hydro_metrics_batch rows 1,TRUE,
ggof,matrix,TRUE,hydro_metrics_batch,ok: hydro_metrics_batch rows 2,TRUE,
ggof,zoo,TRUE,hydro_metrics_batch,ok: hydro_metrics_batch rows 1,TRUE,
ggof,xts,TRUE,hydro_metrics_batch,ok: hydro_metrics_batch rows 1,TRUE,
NSE,numeric,TRUE,numeric_scalar,ok: 0.789474,TRUE,
NSE,matrix,TRUE,numeric_vector,ok: -0.5; -2.0,TRUE,
NSE,zoo,TRUE,numeric_scalar,ok: 0.789474,TRUE,
NSE,xts,TRUE,numeric_scalar,ok: 0.789474,TRUE,
PBIAS,numeric,TRUE,numeric_scalar,ok: 11.1111,TRUE,
PBIAS,matrix,TRUE,numeric_vector,ok: 20.0000; 28.5714,TRUE,
PBIAS,zoo,TRUE,numeric_scalar,ok: 11.1111,TRUE,
PBIAS,xts,TRUE,numeric_scalar,ok: 11.1111,TRUE,
R2,numeric,TRUE,numeric_scalar,ok: 0.852632,TRUE,
R2,matrix,TRUE,numeric_vector,ok: 0.75; 0.75,TRUE,
R2,zoo,TRUE,numeric_scalar,ok: 0.852632,TRUE,
R2,xts,TRUE,numeric_scalar,ok: 0.852632,TRUE,
NRMSE,numeric,TRUE,numeric_scalar,ok: 0.222222,TRUE,
NRMSE,matrix,TRUE,numeric_vector,ok: 0.346410; 0.349927,TRUE,
NRMSE,zoo,TRUE,numeric_scalar,ok: 0.222222,TRUE,
NRMSE,xts,TRUE,numeric_scalar,ok: 0.222222,TRUE,
APFB,numeric,FALSE,error,error: APFB requires zoo/xts inputs with a time index.,TRUE,indexed-only wrapper
APFB,matrix,FALSE,error,error: APFB requires zoo/xts inputs with a time index.,TRUE,indexed-only wrapper
APFB,zoo,FALSE,error,error: APFB requires at least 2 years after preprocessing.,TRUE,
APFB,xts,FALSE,error,error: APFB requires at least 2 years after preprocessing.,TRUE,
